benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,752,1124,14,71,61280,0,33548.89,687,0,0,107
aes-10uF,10uF,ok,610,910,18,53,57984,0,35946.39,800,0,0,107
aes-50uF,50uF,link_failed,962,1429,33,116,72176,0,,0,0,0,
crc-5uF,5uF,ok,3051,4094,4,603,69680,0,12047.82,24,0,0,39423
crc-10uF,10uF,ok,3051,4094,3,272,69808,0,11997.23,20,0,0,39423
crc-50uF,50uF,ok,3051,4094,3,270,69744,0,11995.89,20,0,0,39423
rsa-5uF,5uF,ok,1113,1508,60,60,51584,0,425012.04,20035,0,0,32
rsa-10uF,10uF,ok,1183,1606,88,79,52512,0,425068.23,20020,0,0,32
rsa-50uF,50uF,ok,1677,2298,286,209,59344,0,421893.23,20005,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42560,0,1669294.29,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42512,0,1667255.87,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42480,0,1666720.21,121836,0,0,33447
qsort-5uF,5uF,ok,27,36,16,69,48880,0,4600863.13,316922,0,0,27023
qsort-10uF,10uF,ok,27,36,16,69,48848,0,4599987.02,316922,0,0,27023
qsort-50uF,50uF,ok,27,36,16,70,48832,0,4601553.27,316922,0,0,27023
activity_recognition-5uF,5uF,ok,876,1183,75,32,50384,0,54774.62,1505,0,0,64
activity_recognition-10uF,10uF,ok,809,1119,183,52,50128,0,62310.26,2481,0,0,64
activity_recognition-50uF,50uF,ok,2474,3410,444,233,65712,0,52238.36,2117,0,0,64
bitcount-5uF,5uF,link_failed,80,115,18,97,76400,0,,0,0,0,
bitcount-10uF,10uF,link_failed,80,115,18,97,76400,0,,0,0,0,
bitcount-50uF,50uF,link_failed,80,115,18,99,76368,0,,0,0,0,
