benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,755,1128,15,68,63312,0,33727.96,689,0,0,107
aes-10uF,10uF,ok,613,914,19,49,57840,0,36060.02,802,0,0,107
aes-50uF,50uF,link_failed,965,1433,34,116,72816,0,,0,0,0,
crc-5uF,5uF,ok,1547,2078,3,72,57856,0,12020.8,40,0,0,39423
crc-10uF,10uF,ok,1547,2078,3,70,56944,0,12022.03,40,0,0,39423
crc-50uF,50uF,ok,1547,2078,3,68,56912,0,,0,0,0,
rsa-5uF,5uF,ok,739,1008,62,56,49072,0,427293.98,20159,0,0,32
rsa-10uF,10uF,ok,809,1106,90,70,50464,0,429493.88,20144,0,0,32
rsa-50uF,50uF,ok,987,1356,162,128,53568,0,425759.83,20135,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42560,0,1668804.38,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42592,0,1668268.47,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42576,0,1668446.48,121836,0,0,33447
qsort-5uF,5uF,ok,27,36,16,36,46112,0,4606780.92,316962,0,0,27023
qsort-10uF,10uF,ok,27,36,16,36,46064,0,4606978.94,316962,0,0,27023
qsort-50uF,50uF,ok,27,36,16,37,46208,0,4607255.39,316962,0,0,27023
activity_recognition-5uF,5uF,ok,876,1183,75,31,50432,0,54837.65,1505,0,0,64
activity_recognition-10uF,10uF,ok,809,1119,183,54,51120,0,62388.58,2481,0,0,64
activity_recognition-50uF,50uF,ok,2474,3410,444,249,68368,0,52298.32,2117,0,0,64
bitcount-5uF,5uF,ok,72,107,18,72,58992,0,19044846.13,1229059,0,0,52382
bitcount-10uF,10uF,ok,72,107,18,71,58928,0,19045286.99,1229059,0,0,52382
bitcount-50uF,50uF,ok,72,107,18,89,58848,0,19046009.69,1229059,0,0,52382
