benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,690,1031,15,58,60528,0,32942.46,0,0,0,
aes-10uF,10uF,ok,554,826,18,42,56128,0,34962.33,0,0,0,
aes-50uF,50uF,ok,757,1124,29,86,64560,0,37475.81,0,0,0,
crc-5uF,5uF,ok,437,601,12,18,46448,0,16334.23,0,0,0,
crc-10uF,10uF,ok,437,601,12,17,46400,0,16333.91,0,0,0,
crc-50uF,50uF,ok,437,601,12,17,46592,0,16334.53,0,0,0,
rsa-5uF,5uF,ok,311,438,64,16,45824,0,403521.67,0,0,0,
rsa-10uF,10uF,ok,319,450,68,17,46368,0,403099.29,0,0,0,
rsa-50uF,50uF,ok,319,450,68,17,46400,0,404208.73,0,0,0,
dijkstra-5uF,5uF,ok,17,24,5,2,42464,0,1514393.62,0,0,0,
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1516682.92,0,0,0,
dijkstra-50uF,50uF,ok,17,24,5,2,42512,0,1514929.71,0,0,0,
qsort-5uF,5uF,ok,27,36,16,10,43824,0,4240200.19,0,0,0,
qsort-10uF,10uF,ok,27,36,16,10,43744,0,4239644.77,0,0,0,
qsort-50uF,50uF,ok,27,36,16,10,43808,0,4239873.07,0,0,0,
activity_recognition-5uF,5uF,ok,833,1127,76,39,49536,0,54733.53,0,0,0,
activity_recognition-10uF,10uF,ok,1054,1446,184,67,51088,0,59152.81,0,0,0,
activity_recognition-50uF,50uF,ok,2898,3997,564,303,66176,0,58676.9,0,0,0,
bitcount-5uF,5uF,ok,72,107,18,23,46000,0,17339258.78,0,0,0,
bitcount-10uF,10uF,ok,72,107,18,22,45840,0,17336766.37,0,0,0,
bitcount-50uF,50uF,ok,72,107,18,22,45840,0,17338047.92,0,0,0,
