benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,779,1161,15,72,63520,0,32851.07,0,0,0,
aes-10uF,10uF,ok,637,947,19,50,57632,0,35125.85,0,0,0,
aes-50uF,50uF,ok,849,1258,30,100,69008,0,37530.96,0,0,0,
crc-5uF,5uF,ok,493,677,13,20,46080,0,15026.33,0,0,0,
crc-10uF,10uF,ok,493,677,13,20,46192,0,15027.31,0,0,0,
crc-50uF,50uF,ok,493,677,13,20,46304,0,15026.49,0,0,0,
rsa-5uF,5uF,ok,333,466,64,18,46176,0,404054.17,0,0,0,
rsa-10uF,10uF,ok,353,494,72,21,47184,0,402531.99,0,0,0,
rsa-50uF,50uF,ok,353,494,72,22,47136,0,402435.12,0,0,0,
dijkstra-5uF,5uF,ok,17,24,5,2,42512,0,1517248.07,0,0,0,
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1517153.55,0,0,0,
dijkstra-50uF,50uF,ok,17,24,5,2,42448,0,1516238.11,0,0,0,
qsort-5uF,5uF,ok,29,38,15,6,44048,0,4244101.35,0,0,0,
qsort-10uF,10uF,ok,29,38,15,6,43984,0,4244904.87,0,0,0,
qsort-50uF,50uF,ok,29,38,15,6,44256,0,4243660.32,0,0,0,
activity_recognition-5uF,5uF,ok,898,1213,76,41,49552,0,54011.22,0,0,0,
activity_recognition-10uF,10uF,ok,1082,1483,184,66,51328,0,59205.7,0,0,0,
activity_recognition-50uF,50uF,ok,3259,4494,636,345,73952,0,58732.97,0,0,0,
bitcount-5uF,5uF,ok,80,115,18,17,45968,0,17282759.2,0,0,0,
bitcount-10uF,10uF,ok,80,115,18,17,45792,0,17282971.98,0,0,0,
bitcount-50uF,50uF,ok,80,115,18,18,45840,0,17282701.14,0,0,0,
