benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,752,1124,14,75,61920,0,33592.11,687,0,0,107
aes-10uF,10uF,ok,610,910,18,55,58128,0,35992.61,800,0,0,107
aes-50uF,50uF,link_failed,962,1429,33,117,72080,0,,0,0,0,
crc-5uF,5uF,ok,2583,3466,4,632,66656,0,12261.8,28,0,0,39423
crc-10uF,10uF,ok,2583,3466,3,113,67280,0,12202.87,24,0,0,39423
crc-50uF,50uF,ok,2583,3466,3,114,68608,0,12202.48,24,0,0,39423
rsa-5uF,5uF,ok,1005,1362,62,96,51328,0,426964.87,20159,0,0,32
rsa-10uF,10uF,ok,1075,1460,90,113,52432,0,427025.48,20144,0,0,32
rsa-50uF,50uF,ok,1475,2020,250,294,59600,0,426917.51,20135,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42576,0,1668291.27,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42528,0,1668181.49,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42624,0,1669832.6,121836,0,0,33447
qsort-5uF,5uF,ok,29,38,17,61,49264,0,4601173.33,316941,0,0,27023
qsort-10uF,10uF,ok,29,38,17,64,48208,0,4599983.71,316941,0,0,27023
qsort-50uF,50uF,ok,29,38,17,65,48144,0,4599142.16,316941,0,0,27023
activity_recognition-5uF,5uF,ok,876,1183,75,32,50368,0,54837.25,1505,0,0,64
activity_recognition-10uF,10uF,ok,809,1119,183,52,50768,0,62388.32,2481,0,0,64
activity_recognition-50uF,50uF,ok,2474,3410,444,250,69520,0,52296.04,2117,0,0,64
bitcount-5uF,5uF,link_failed,80,115,18,68,70096,0,,0,0,0,
bitcount-10uF,10uF,link_failed,80,115,18,68,72080,0,,0,0,0,
bitcount-50uF,50uF,link_failed,80,115,18,71,71152,0,,0,0,0,
