capacitor,benchmark_count,solve_time_mean_before_ms,solve_time_mean_after_ms,solve_time_mean_reduction_pct,solve_time_geomean_reduction_pct,solve_time_mean_of_reductions_pct,solve_time_median_before_ms,solve_time_median_after_ms,solve_time_median_reduction_pct,worst_case_before_benchmark,worst_case_before_ms,worst_case_after_benchmark,worst_case_after_ms,milp_variables_mean_before,milp_variables_mean_after,milp_variables_mean_reduction_pct,milp_constraints_mean_before,milp_constraints_mean_after,milp_constraints_mean_reduction_pct,milp_presolved_variables_mean_before,milp_presolved_variables_mean_after,milp_presolved_variables_mean_reduction_pct,milp_presolved_constraints_mean_before,milp_presolved_constraints_mean_after,milp_presolved_constraints_mean_reduction_pct
5uF,7,854.4285714285714,406.14285714285717,52.46614278548738,31.62129931774935,27.549354458801425,53.0,41.0,22.641509433962266,rsa-5uF,5585.0,rsa-5uF,2552.0,3962.0,3872.285714285714,2.2643686449844975,16428.85714285714,16147.857142857143,1.7104050364341379,1131.0,1055.2857142857142,6.694454970317045,3294.8571428571427,3113.0,5.519424210891427
10uF,7,63.142857142857146,47.714285714285715,24.434389140271495,26.22917093521988,20.928388821191856,22.0,19.0,13.636363636363635,bitcount-10uF,159.0,bitcount-10uF,157.0,2592.0,2544.5714285714284,1.8298059964726683,10716.0,10565.0,1.4091078760731617,473.57142857142856,433.57142857142856,8.446455505279035,1297.4285714285713,1203.4285714285713,7.245100198194231
50uF,7,91.85714285714286,59.142857142857146,35.61430793157076,34.232389315761225,30.704998995214222,19.0,14.0,26.31578947368421,rsa-50uF,313.0,bitcount-50uF,207.0,2393.285714285714,2351.8571428571427,1.7310332477765231,9875.714285714286,9747.714285714286,1.2961087805583682,504.2857142857143,468.7142857142857,7.053824362606228,1370.142857142857,1289.7142857142858,5.870086539464074
ALL,21,336.4761904761905,171.0,49.179167846023205,30.773476177784776,26.394247425069167,22.0,19.0,13.636363636363635,rsa-5uF,5585.0,rsa-5uF,2552.0,2982.4285714285716,2922.904761904762,1.995816768054162,12340.190476190477,12153.52380952381,1.5126724909702811,702.952380952381,652.5238095238095,7.173824685002035,1987.4761904761904,1868.7142857142858,5.975513333493055
