benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,755,1128,15,68,61120,0,32783.22,0,0,0,
aes-10uF,10uF,ok,613,914,19,47,57184,0,35081.83,0,0,0,
aes-50uF,50uF,ok,930,1381,33,109,72976,0,37447.59,0,0,0,
crc-5uF,5uF,ok,652,896,16,30,47712,0,15274.87,0,0,0,
crc-10uF,10uF,ok,652,896,16,32,48144,0,15273.68,0,0,0,
crc-50uF,50uF,ok,652,896,16,30,48000,0,15273.72,0,0,0,
rsa-5uF,5uF,ok,387,538,64,20,46768,0,402885.59,0,0,0,
rsa-10uF,10uF,ok,437,608,84,38,48464,0,402380.39,0,0,0,
rsa-50uF,50uF,ok,437,608,84,30,48032,0,403463.1,0,0,0,
dijkstra-5uF,5uF,ok,17,24,5,2,42624,0,1515958.89,0,0,0,
dijkstra-10uF,10uF,ok,17,24,5,2,42688,0,1515520.2,0,0,0,
dijkstra-50uF,50uF,ok,17,24,5,2,42512,0,1515271.73,0,0,0,
qsort-5uF,5uF,ok,29,38,17,12,44640,0,4225732.51,0,0,0,
qsort-10uF,10uF,ok,29,38,17,13,44720,0,4223725.03,0,0,0,
qsort-50uF,50uF,ok,29,38,17,13,44656,0,4225339.79,0,0,0,
activity_recognition-5uF,5uF,ok,1087,1465,76,47,50672,0,54175.22,0,0,0,
activity_recognition-10uF,10uF,ok,1163,1591,184,71,51408,0,59277.69,0,0,0,
activity_recognition-50uF,50uF,link_failed,4333,5976,844,559,80048,0,,0,0,0,
bitcount-5uF,5uF,ok,80,115,18,23,46896,0,17222305.51,0,0,0,
bitcount-10uF,10uF,ok,80,115,18,22,46816,0,17225014.07,0,0,0,
bitcount-50uF,50uF,ok,80,115,18,21,46896,0,17221089.89,0,0,0,
