benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,779,1161,15,70,61312,0,33762.87,692,0,0,107
aes-10uF,10uF,ok,637,947,19,49,57264,0,36101.77,805,0,0,107
aes-50uF,50uF,ok,849,1258,30,98,66160,0,38659.99,901,0,0,107
crc-5uF,5uF,ok,493,677,13,20,46272,0,15791.83,643,0,0,39423
crc-10uF,10uF,ok,493,677,13,20,46624,0,15791.5,643,0,0,39423
crc-50uF,50uF,ok,493,677,13,20,46288,0,15791.57,643,0,0,39423
rsa-5uF,5uF,ok,333,466,64,18,46016,0,430167.79,20531,0,0,32
rsa-10uF,10uF,ok,353,494,72,22,47152,0,431334.5,20525,0,0,32
rsa-50uF,50uF,ok,353,494,72,24,46912,0,434346.24,20525,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42576,0,1669854.69,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42496,0,1669600.05,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42480,0,1669157.94,121836,0,0,33447
qsort-5uF,5uF,ok,29,38,15,6,43888,0,4603353.96,317169,0,0,27023
qsort-10uF,10uF,ok,29,38,15,6,43936,0,4602603.04,317169,0,0,27023
qsort-50uF,50uF,ok,29,38,15,6,44000,0,4602320.39,317169,0,0,27023
activity_recognition-5uF,5uF,ok,898,1213,76,42,49664,0,56112.35,1634,0,0,64
activity_recognition-10uF,10uF,ok,1082,1483,184,67,51216,0,62436.23,2483,0,0,64
activity_recognition-50uF,50uF,ok,3259,4494,636,351,71408,0,61755.0,2445,0,0,64
bitcount-5uF,5uF,ok,80,115,18,18,45920,0,18911050.45,1235451,0,0,52382
bitcount-10uF,10uF,ok,80,115,18,17,45840,0,18911275.53,1235451,0,0,52382
bitcount-50uF,50uF,ok,80,115,18,17,46288,0,18910706.58,1235451,0,0,52382
