benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,690,1031,15,60,59120,0,33817.19,692,0,0,107
aes-10uF,10uF,ok,554,826,18,42,57664,0,35999.31,805,0,0,107
aes-50uF,50uF,ok,757,1124,29,87,66208,0,38583.61,901,0,0,107
crc-5uF,5uF,ok,437,601,12,17,46592,0,17118.51,660,0,0,39423
crc-10uF,10uF,ok,437,601,12,17,46304,0,17119.15,660,0,0,39423
crc-50uF,50uF,ok,437,601,12,18,46544,0,17118.89,660,0,0,39423
rsa-5uF,5uF,ok,311,438,64,16,46096,0,437244.76,20531,0,0,32
rsa-10uF,10uF,ok,319,450,68,17,46352,0,430869.99,20525,0,0,32
rsa-50uF,50uF,ok,319,450,68,18,46304,0,430741.78,20525,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42528,0,1667206.37,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1667654.45,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42576,0,1667716.32,121836,0,0,33447
qsort-5uF,5uF,ok,27,36,16,10,43840,0,4603990.16,317202,0,0,27023
qsort-10uF,10uF,ok,27,36,16,10,43712,0,4606088.52,317202,0,0,27023
qsort-50uF,50uF,ok,27,36,16,10,43680,0,4606013.84,317202,0,0,27023
activity_recognition-5uF,5uF,ok,833,1127,76,39,49584,0,56814.81,1634,0,0,64
activity_recognition-10uF,10uF,ok,1054,1446,184,68,50992,0,62305.74,2483,0,0,64
activity_recognition-50uF,50uF,ok,2898,3997,564,304,66112,0,61680.37,2444,0,0,64
bitcount-5uF,5uF,ok,72,107,18,22,45696,0,18966576.27,1236559,0,0,52382
bitcount-10uF,10uF,ok,72,107,18,23,46208,0,18965364.45,1236559,0,0,52382
bitcount-50uF,50uF,ok,72,107,18,22,46240,0,18968408.33,1236559,0,0,52382
