benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,752,1124,14,73,60896,0,32663.88,0,0,0,
aes-10uF,10uF,ok,610,910,18,54,57984,0,34987.7,0,0,0,
aes-50uF,50uF,ok,962,1429,33,120,71808,0,,0,0,0,
crc-5uF,5uF,ok,3051,4094,4,602,69744,0,12019.23,0,0,0,
crc-10uF,10uF,ok,3051,4094,3,279,69728,0,11972.5,0,0,0,
crc-50uF,50uF,ok,3051,4094,3,284,70880,0,11973.51,0,0,0,
rsa-5uF,5uF,ok,1113,1508,60,64,51776,0,396945.83,0,0,0,
rsa-10uF,10uF,ok,1183,1606,88,75,52624,0,397179.68,0,0,0,
rsa-50uF,50uF,ok,1677,2298,286,207,61152,0,395845.74,0,0,0,
dijkstra-5uF,5uF,ok,17,24,5,2,42480,0,1512679.51,0,0,0,
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1516204.55,0,0,0,
dijkstra-50uF,50uF,ok,17,24,5,2,42480,0,1515707.43,0,0,0,
qsort-5uF,5uF,ok,27,36,16,71,49488,0,4235478.94,0,0,0,
qsort-10uF,10uF,ok,27,36,16,69,48896,0,4236729.66,0,0,0,
qsort-50uF,50uF,ok,27,36,16,72,50096,0,4236060.49,0,0,0,
activity_recognition-5uF,5uF,ok,876,1183,75,32,50416,0,52959.84,0,0,0,
activity_recognition-10uF,10uF,ok,809,1119,183,53,50080,0,59099.1,0,0,0,
activity_recognition-50uF,50uF,ok,2474,3410,444,231,65552,0,49633.1,0,0,0,
bitcount-5uF,5uF,link_failed,80,115,18,99,76336,0,,0,0,0,
bitcount-10uF,10uF,link_failed,80,115,18,98,78592,0,,0,0,0,
bitcount-50uF,50uF,link_failed,80,115,18,97,76432,0,,0,0,0,
