benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,781,1164,15,70,63088,0,33781.4,691,0,0,107
aes-10uF,10uF,ok,639,950,19,50,57472,0,36224.07,804,0,0,107
aes-50uF,50uF,ok,886,1313,31,106,69024,0,38661.65,900,0,0,107
crc-5uF,5uF,ok,546,750,14,26,46704,0,15796.6,629,0,0,39423
crc-10uF,10uF,ok,546,750,14,26,47360,0,15797.48,629,0,0,39423
crc-50uF,50uF,ok,546,750,14,26,46864,0,15797.44,629,0,0,39423
rsa-5uF,5uF,ok,351,490,64,18,46336,0,429390.38,20469,0,0,32
rsa-10uF,10uF,ok,381,532,76,22,46944,0,433885.74,20460,0,0,32
rsa-50uF,50uF,ok,381,532,76,24,46928,0,430794.74,20460,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,3,42512,0,1667647.74,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42544,0,1670802.22,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42576,0,1668713.57,121836,0,0,33447
qsort-5uF,5uF,ok,27,36,16,12,44464,0,4640687.35,317138,0,0,27023
qsort-10uF,10uF,ok,27,36,16,13,44272,0,4640626.26,317138,0,0,27023
qsort-50uF,50uF,ok,27,36,16,13,44512,0,4640839.26,317138,0,0,27023
activity_recognition-5uF,5uF,ok,961,1297,76,39,50096,0,56222.46,1634,0,0,64
activity_recognition-10uF,10uF,ok,1109,1519,184,71,51632,0,62509.57,2483,0,0,64
activity_recognition-50uF,50uF,link_failed,3617,4988,704,448,75440,0,,0,0,0,
bitcount-5uF,5uF,ok,72,107,18,28,46960,0,18951321.61,1234559,0,0,52382
bitcount-10uF,10uF,ok,72,107,18,28,46848,0,18962673.58,1234559,0,0,52382
bitcount-50uF,50uF,ok,72,107,18,29,46912,0,18949980.62,1234559,0,0,52382
