benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,result
aes-5uF,5uF,ok,755,1128,15,66,60416,0,33632.73,691,0,0,107
aes-10uF,10uF,ok,613,914,19,47,57568,0,36153.19,804,0,0,107
aes-50uF,50uF,ok,930,1381,33,109,71456,0,38523.78,900,0,0,107
crc-5uF,5uF,ok,652,896,16,30,47904,0,15994.93,607,0,0,39423
crc-10uF,10uF,ok,652,896,16,29,47712,0,15994.84,607,0,0,39423
crc-50uF,50uF,ok,652,896,16,31,47776,0,15994.77,607,0,0,39423
rsa-5uF,5uF,ok,387,538,64,21,47152,0,430003.15,20407,0,0,32
rsa-10uF,10uF,ok,437,608,84,28,47680,0,432966.01,20395,0,0,32
rsa-50uF,50uF,ok,437,608,84,29,47920,0,430401.02,20395,0,0,32
dijkstra-5uF,5uF,ok,17,24,5,2,42560,0,1667158.09,121836,0,0,33447
dijkstra-10uF,10uF,ok,17,24,5,2,42496,0,1668995.77,121836,0,0,33447
dijkstra-50uF,50uF,ok,17,24,5,2,42576,0,1669452.43,121836,0,0,33447
qsort-5uF,5uF,ok,29,38,17,12,44368,0,4642652.81,317151,0,0,27023
qsort-10uF,10uF,ok,29,38,17,12,44432,0,4641875.16,317151,0,0,27023
qsort-50uF,50uF,ok,29,38,17,12,44464,0,4647454.57,317151,0,0,27023
activity_recognition-5uF,5uF,ok,1087,1465,76,47,51168,0,56115.4,1634,0,0,64
activity_recognition-10uF,10uF,ok,1163,1591,184,71,51440,0,62513.64,2483,0,0,64
activity_recognition-50uF,50uF,link_failed,4333,5976,844,559,79872,0,,0,0,0,
bitcount-5uF,5uF,ok,80,115,18,23,46912,0,18773334.74,1233227,0,0,52382
bitcount-10uF,10uF,ok,80,115,18,23,47296,0,18775094.72,1233227,0,0,52382
bitcount-50uF,50uF,ok,80,115,18,22,46800,0,18772475.96,1233227,0,0,52382
