benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms,result,run_attempts
activity_recognition-10uF,10uF,ok,16,22,8,9,3,39,40624,406,34025.7,12,0,0,9,coarse,470,1799,99,211,yes,1,1,__local_main.stats.sroa.0.i:8,12,64,1
sha256-10uF,10uF,ok,38,54,14,18,6,203,56352,535,94241.66,18,0,0,6,coarse,4005,16559,259,674,yes,79,0,,56,131,1
