capacitor,benchmark_count,solve_time_mean_before_ms,solve_time_mean_after_ms,solve_time_mean_reduction_pct,solve_time_geomean_reduction_pct,solve_time_mean_of_reductions_pct,solve_time_median_before_ms,solve_time_median_after_ms,solve_time_median_reduction_pct,worst_case_before_benchmark,worst_case_before_ms,worst_case_after_benchmark,worst_case_after_ms,milp_variables_mean_before,milp_variables_mean_after,milp_variables_mean_reduction_pct,milp_constraints_mean_before,milp_constraints_mean_after,milp_constraints_mean_reduction_pct,milp_presolved_variables_mean_before,milp_presolved_variables_mean_after,milp_presolved_variables_mean_reduction_pct,milp_presolved_constraints_mean_before,milp_presolved_constraints_mean_after,milp_presolved_constraints_mean_reduction_pct
10uF,13,45.30769230769231,32.15384615384615,29.03225806451613,23.772521215455477,21.653784987707414,20.0,14.0,30.0,stringsearch,224.0,stringsearch,153.0,1700.6923076923076,1653.2307692307693,2.7907187118368015,7037.2307692307695,6880.0,2.234270473525429,177.84615384615384,141.84615384615384,20.242214532871973,472.3076923076923,380.6923076923077,19.397394136807822
ALL,13,45.30769230769231,32.15384615384615,29.03225806451613,23.772521215455477,21.653784987707414,20.0,14.0,30.0,stringsearch,224.0,stringsearch,153.0,1700.6923076923076,1653.2307692307693,2.7907187118368015,7037.2307692307695,6880.0,2.234270473525429,177.84615384615384,141.84615384615384,20.242214532871973,472.3076923076923,380.6923076923077,19.397394136807822
