benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms
activity_recognition,10uF,ok,16,22,8,9,3,45,40608,511,9,coarse,470,1799,99,211,yes,1,1,__local_main.stats.sroa.0.i:8,14
aes,10uF,ok,26,35,9,10,4,242,47280,422,3,coarse,2451,9959,43,93,yes,49,0,,24
bitcount,10uF,ok,61,92,36,51,18,228,63792,514,2,coarse,5680,24786,684,2069,yes,16,0,,84
chacha20,10uF,ok,11,15,4,4,2,29,38800,399,3,coarse,486,1877,19,33,yes,30,0,,3
crc,10uF,ok,9,12,6,6,3,12,36992,402,2,coarse,107,383,5,7,yes,0,1,__local_main.result:6,2
cuckoo_filter,10uF,ok,22,32,7,8,3,23,38672,402,3,coarse,414,1650,30,61,yes,4,1,__local_main.inserts:7,4
dijkstra,10uF,ok,17,24,9,12,3,60,41536,454,5,coarse,935,3789,112,232,yes,38,0,,16
poly1305,10uF,ok,7,9,4,4,2,28,38688,409,3,coarse,550,2105,25,50,yes,0,0,,4
qsort,10uF,ok,17,24,12,15,5,21,38704,419,2,coarse,302,1185,35,74,yes,7,0,,5
rsa,10uF,ok,116,171,26,33,7,214,56688,419,8,coarse,4780,20041,175,498,yes,2,0,,59
sensor_fusion,10uF,ok,177,268,4,4,2,50,39248,414,2,coarse,425,1675,14,26,yes,0,0,,2
sha256,10uF,ok,38,54,14,18,6,178,54672,400,6,coarse,4005,16559,259,674,yes,79,0,,48
stringsearch,10uF,ok,32,46,18,24,4,197,47776,425,4,coarse,887,3632,344,921,yes,6,0,,153
