benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sensor_fusion,board,1,ok,2,8,0,2.22,127685.84,,10,0,613
sensor_fusion,board,2,ok,2,8,0,3.2,616032.7,,13,0,613
sensor_fusion,board,3,ok,2,8,0,4.09,184184.97,,14,0,613
sensor_fusion,board,4,ok,2,8,0,5.85,3405928.91,,13,0,613
sensor_fusion,board,5,ok,2,8,0,4.49,1887095.56,,13,0,613
sensor_fusion,board,6,ok,2,8,0,2.9,1043438.13,,14,0,613
sensor_fusion,board,7,ok,2,8,0,3.7,2061579.74,,13,0,613
sensor_fusion,board,8,ok,2,8,0,3.49,891736.64,,16,0,613
sensor_fusion,board,9,ok,2,8,0,5.48,2619764.0,,12,0,613
sensor_fusion,board,10,ok,2,8,0,1.91,127599.27,,10,0,613
